Date,News 1,News 2,News 3,News 4,News 5,News 6,News 7,News 8,News 9,News 10
2026-01-17,Black female professionals have seen a steep drop in employment over the last year. They are turning to each other for pep talks and résumé advice.,Physicians with independent practices are having to cobble together unconventional office arrangements at a time of rising costs and consolidation in the medical field.,Residents and officials are still trying to revitalize East Palestine nearly three years after a derailment and chemical burn.,Stores of all kinds are using artificial intelligence to sell everything from luxury handbags to hay for horses.,The industry has long prioritized projects with quick and reliable payback. Trump is pushing for a return to risk.,Videos of immigration officers dragging an employee out of a store near Minneapolis the retailer’s hometown set off renewed political debate after years of boycotts.,In previously unreported remarks the White House press secretary Karoline Leavitt told CBS News that Mr. Trump would “sue” the news outlet if it did not air an interview unedited.,,,
2026-01-18,A new way to characterize unenthusiastic consumers has overtaken earnings calls.,Raj Subramaniam took over three years ago from FedEx’s founder who ran the company for nearly 50 years. Since then technology tariffs and other disruptions have “fundamentally shifted” patterns of global trade.,Getting family members to listen to you when you think they are headed down a dangerous financial path can be difficult. But there are preventive steps you can take.,As part of the settlement The Daily Beast was not required to apologize or issue any payment to Chris LaCivita who sued the outlet last year.,Jan Philipp Burgard was one of Axel Springer’s most prominent editors overseeing its influential German broadsheet Welt.,,,,,
2026-01-19,Falling apartment prices have erased the savings of millions of Chinese households but exports lifted the economy to 5 percent growth last year.,China’s population fell for a fourth straight year and its birthrate tumbled as policymakers failed to slow a demographic crisis.,A 13-minute segment about Venezuelan men deported by the Trump administration had been pulled at the last minute by CBS News’s editor in chief Bari Weiss.,The traditional rhetoric of the World Economic Forum centered on global integration climate change and international cooperation. Not anymore.,The 3.3 percent rate for 2026 would match last year’s pace. Booming investment in artificial intelligence is buttressing global output.,Billions of dollars are trading hands on sites like Polymarket and Kalshi where people bet on everything from Taylor Swift’s wedding date to election outcomes.,A federal labor regulator says the firm Snohetta laid off eight employees in retaliation for trying to unionize.,As a candidate President Trump pledged to boost the stock market bring back manufacturing jobs and improve other elements of the economy. A year after his return to office his record is mixed.,,
2026-01-20,President Trump’s policies have so far done little to change the overall state of the American economy but economists warn they will ultimately weaken the United States.,Founded by researchers from Anthropic Google and xAI the new company Humans& is already valued at $4.48 billion.,Netflix will pay all cash for the $83 billion deal to acquire major parts of Warner Bros. Discovery instead of a mix of cash and stock.,Greenland tariffs and wobbling markets are the talk of the town at the World Economic Forum ahead of the president’s arrival on Wednesday.,The S&P 500 saw its biggest decline since October and market jitters spread to Asia on Wednesday.,The World Economic Forum is now dominated by global technology companies whose interests shunt aside most others.,He transformed his Japanese photo booth business into a gaming industry giant that created Mortal Kombat Sonic the Hedgehog and more.,The agency is aiming to reverse a setback in the government’s campaign to rein in the power of the biggest tech companies.,The settlement means Snap will avoid a trial where plaintiffs had planned to argue that social media platforms are inherently defective and subject to personal injury liability.,
2026-01-21,From the ballot box in California to the halls of Congress and Wall Street several new initiatives would require more oversight of how the company protects its passengers.,Japan is reviving nuclear power balancing the need for more clean energy against the lingering trauma of the 2011 Fukushima Daiichi disaster.,Stocks in the U.S. stabilized on Wednesday after an earlier slump had spilled into markets in Asia and Europe ending a period of relative calm.,The president’s address at the World Economic Forum in Switzerland has trading partners and business executives on edge.,The move by the European Parliament delays a push by the bloc to find new trading partners as President Trump has threatened escalating U.S. tariffs.,A new daily email from Mediaite intends to cut through the cacophony of online media news.,President Trump and his aides have mentioned various ideas for improving housing affordability but the specifics are still unclear.,Breaches of ethics in sports are almost as old as professional competitions. Here’s when they have affected the business — and when they haven’t.,A recently filed lawsuit claims the ratings assigned by A.I. screening software are similar to those of a credit agency and should be subject to the same laws.,The Post in its first legal filing since the government searched the home of a reporter last week had demanded the return of the seized materials.
2026-01-22,The president used a keynote speech at the World Economic Forum in Switzerland to renounce the last vestiges of the liberal democratic order.,The setback occurred hours after one of the world’s largest nuclear complexes restarted ending more than a decade of dormancy following the 2011 Fukushima Daiichi meltdown.,Over nine days Elon Musk’s Grok chatbot generated and posted 4.4 million images of which at least 41 percent were sexualized images of women.,This month resolve to revive or relinquish those old music players and point-and-shoot cameras — and retrieve any files trapped on the devices.,Two different nursing school programs in Ohio offer a glimpse into what may happen when federal student borrowing has limits.,After the latest bout of trade turmoil with the United States European leaders are looking for ways to project strength to the Trump administration which considers them weak.,Business leaders at the World Economic Forum were relieved by the president’s about-face on Greenland but remain on edge about what could come next.,The Federal Reserve’s preferred gauge for inflation in October and November was released belatedly after the government shutdown.,Welcome to the era of the Polymarket sharp.,Defections secret conversations deal talks that fizzled and a battle for control: The turmoil at Thinking Machines Lab is the artificial intelligence industry’s latest drama.
2026-01-23,The Chinese parent company of the popular video app said a group of non-Chinese investors would create an American TikTok to avoid a federal ban.,Several big companies and investment firms are part of the new American TikTok. Many have ties to one another and President Trump.,The popular short form video app has a new corporate structure in the United States which could result in some changes for the 200 million Americans who use TikTok.,Chinese firms must contend with geopolitical tensions and mistrust to do business in the United States. Some are choosing to avoid the U.S. altogether.,Claude Code generates computer code when people type prompts so those with no coding experience can create their own programs and apps.,Managers of electric grids say freezing temperatures and ice and snow could lead to power outages in many places potentially leaving millions in the dark.,The president’s legal efforts against the Wall Street giant and Jamie Dimon its chief executive have put Corporate America on edge.,Dropping rates more than conditions warrant would stimulate the economy in the short term but could lead to trouble our columnist says.,Older high-income workers who make contributions beyond the standard amount will have to put that extra money into a Roth 401(k). That may lower their take-home pay.,With tight business restrictions still in place companies may find it challenging to even assess what opportunities exist for them in the South American nation.
2026-01-24,New York Fed inquiries about the cost of exchanging yen for dollars signaled to traders on Friday that the U.S. government might make a large purchase of the Japanese currency.,U.S. trade policy has devastated the Canadian auto industry and pushed the country to reach an agreement that will make it easier for Chinese companies to sell cars there.,And picking up the slack for a colleague with long Covid.,The steady accumulation of snow and freezing rain and a rise in demand for electricity can cause problems long after the sky clears energy experts said.,The number of applicants has risen more than 40 percent over the last two years despite new limits on student loans and uncertainty over how artificial intelligence will affect legal work.,The abrupt change in direction came just weeks before the Olympic Games are set to begin in Italy.,,,,
2026-01-25,Prices for nearly every major U.S. crop are below what it costs to grow them. But a drop in rice prices means another blow to farmers in Mississippi’s agricultural belt.,Sales of beverages containing hemp-derived THC are rising as consumers look for the buzz without the booze. But a new federal law could push them off shelves.,The letter from chief executives at some of the state’s most recognizable companies like Target and Cargill stops short of condemning the recent killings by federal immigration agents.,Fox anchors were laser focused on promoting the Trump administration’s narrative that the slain protester Alex Pretti had brought the violence upon himself.,,,,,,
2026-01-26,Tension over Greenland has prompted worries that the Trump administration could turn the U.S. oil and gas industry into a way to pressure Europe.,Yann LeCun helped create the technology behind today’s chatbots. Now he says many tech companies are on the wrong path to creating intelligent machines.,Consumers are still spending but they’re looking for ways to stretch their dollars as far as possible.,Ricursive Intelligence founded by two former Google researchers and valued at $4 billion is among several efforts to automate the creation of artificial intelligence.,Regulators said the company’s lack of controls had led to the widespread use of deepfakes created with the chatbot Grok.,Delays and cancellations persisted a day after more than 11000 flights were canceled. Airports in the Northeastern U.S. were hit the hardest.,The price of gold surged as investors sought shelter from geopolitical uncertainty.,Some companies have begun to respond to the fatal shooting of Alex Jeffrey Pretti and the immigration crackdown. But others have stayed silent.,A.I.-generated content of Victoria Beckham has spread as wedding drama has engulfed the celebrity clan and the public has clamored for receipts (even fabricated ones).,Though Congress cut $500 million from NPR and PBS stations vanishingly few have closed their doors. Angst about their long-term future remains.
2026-01-27,Starting this week a series of trials will test a new legal strategy claiming that Meta TikTok Snap and YouTube caused personal injury through addictive products.,Landmark trials will test a new legal strategy claiming that Meta TikTok Snap and YouTube caused personal injury through addictive products.,The cost of borrowing is already choking crucial public spending in many developing economies. Now it’s raising broader alarms.,After nearly 20 years of negotiations the two sides struck a far-reaching agreement that officials called “the mother of all trade deals.”,The Federal Reserve is expected to hold interest rates steady on Wednesday despite relentless attacks from President Trump over borrowing costs.,The tech C.E.O. is the latest business leader to speak out about the immigration crackdown and the fatal shooting of two U.S. citizens.,The automaker said that it would buy back stock worth up to $6 billion and that it expected profit to rise this year after it pulled back from electric vehicle production.,The settlement means TikTok will avoid a trial where plaintiffs had planned to argue that social media platforms are inherently defective and subject to personal injury liability.,The tech giant has spent more than $6 million on TV ads in state capitals and Washington with the message that data centers create jobs.,Driven by the artificial intelligence frenzy Microsoft is internally projecting that water use at its data centers will more than double by 2030 from 2020 including in places that face shortages.
2026-01-28,Municipal debt issuance surpassed $500 billion last year a record that’s found a deep pool of buyers.,“It’s hard not to feel a disturbance in the force” said Ethan Hawke whose acting career took off after his early movies appeared at the Utah festival in the 1990s.,The Federal Reserve chose to pause rate cuts even as it faces relentless attacks from President Trump for not cutting borrowing costs fast enough.,The Trump administration has unleashed a barrage of attacks on the Federal Reserve including a criminal investigation into its chair Jerome H. Powell.,The e-commerce giant has been cutting costs while pouring resources into building data centers to compete in the race to dominate artificial intelligence.,Refrigerator manufacturers have been battling counterfeit filters for years. Now GE Appliances is taking the fight up a notch.,The company is part of a newer generation of software upstarts holding multiple tender offers where workers can sell stock before going public.,Succession drama legal intrigue and political independence: These are top issues that DealBook would ask of the Federal Reserve chairman.,The coffee chain’s stock jumped after a better-than-expected earnings report.,Silver has risen roughly 60 percent this month alone. What is going on?
2026-01-29,The shipping traffic and factories never stop in China’s port city of Ningbo but the local housing market has crashed and nearby restaurants sit empty.,Loloi stockpiled rugs from India Turkey and other countries in advance but inventory is running low.,Tariffs have protected some companies but more often they’ve hit the parts and materials many factories need to make finished goods.,The deal with Carlyle comes after the United States and the European Union imposed sanctions on Lukoil putting a dent in the Kremlin’s oil revenue.,Companies like Microsoft and Meta are still spending big on artificial intelligence. But investors remain antsy about seeing results.,The monthly trade deficit and imports rebounded in November after shrinking significantly in prior months new data show.,The rivals made billions of dollars in the business over the past year showing other companies that Nvidia isn’t the only game in town.,A.I. companies are buying up memory chips causing the prices of those components — which are also used in laptops and smartphones — to soar.,A dizzying array of rules govern what can be bought with SNAP dollars confusing grocery stores and consumers.,A proposed class-action lawsuit claims Costco was misleading customers and engaging in false advertising when it described the chicken as having no preservatives.
2026-01-30,The changes are expected to include significant layoffs in areas like sports and international coverage.,President Trump is set to announce his choice to replace Jerome H. Powell as chair of the Federal Reserve saying it is someone “known to everybody in the financial world.”,The ruling delivers a victory to President Trump who has said he wants the U.S. to control the canal and a blow to the longtime ports operator CK Hutchison.,The biggest challenge for Josh D’Amaro as Disney’s next chief executive might be escaping Bob Iger’s shadow.,After the United States imposed sanctions on Russia’s two biggest oil producers the ripple effects wreaked havoc on business for local franchisees.,Agents use facial recognition social media monitoring and other tech tools not only to identify undocumented immigrants but also to track protesters current and former officials said.,Peter Chernin an industry veteran who founded North Road in 2022 said his deal with Mediawan met a need to get bigger in an era of consolidation.,The two largest U.S. oil companies Chevron and Exxon Mobil reported their lowest annual profits in years.,If confirmed by the Senate Kevin M. Warsh a former governor at the central bank will replace Jerome H. Powell whose term as chair ends in May.,Some investors are worried that President Trump’s nominee to run the Federal Reserve may not be a guaranteed “yes” on cutting interest rates.
2026-01-31,The decision to nominate Brett Matsumoto a career government economist came six months after the president fired the previous commissioner.,Kevin A. Hassett had been seen as the front-runner in the Fed race but his deep ties to the president raised questions about his independence.,Energy experts said governors and legislatures had tools to keep electricity prices from rising further and might even be able to lower them.,Investors are increasingly souring on the United States as illustrated by the declining dollar the stalled stock market and rising government borrowing costs.,The Treasury Secretary Scott Bessent tried to avoid providing President Trump with a clear recommendation to lead the central bank.,Mr. Warsh is known as a consensus builder skills he will need if he is to head the Federal Reserve when President Trump is demanding rock-bottom rates.,Wealthy buyers and tourism entrepreneurs are acquiring abandoned European villages — school church and bar included.,The purpose of the new rules is to “stop activity that could compromise national security” the Defense Department said in response to a New York Times lawsuit.,Amazon backed up the Brink’s trucks for the vanity film resulting in weekend ticket sales of about $7 million in North America enough for third place.,
2026-02-01,Ma Ruilin worked as a Communist Party cadre helping fellow Muslims navigate their country as religious minorities until the official hostility became too great to bear.,As companies blame artificial intelligence for layoffs skeptics wonder whether that explanation captures the full picture.,Philipp Navratil recently took over the 160-year-old Swiss food giant charged with reviving growth and regaining trust after his predecessor was ousted over a scandal.,Michael Fiddelke takes the top job at the struggling retailer amid continued unrest in the Twin Cities. A new boss also steps in at Walmart where things are quieter.,,,,,,
2026-02-02,India is overcoming its aversion to free-trade deals to cozy up with Canada and other middle powers.,Beijing wants to lead the world in developing cutting-edge artificial intelligence but it also wants companies to adhere to an increasingly complex set of rules.,Several large American manufacturers are thriving despite the threat of higher costs. Smaller ones are struggling.,Five charts show the impact on the economy after a year of sweeping trade changes by the Trump administration.,A new website called Moltbook has become the talk of Silicon Valley and a Rorschach test for belief in the state of artificial intelligence.,Per-share quarterly profit declined 7 percent from a year earlier with difficulties in movies and TV offsetting robust Disney+ and theme park results.,Stephen Ross the real estate developer and Ken Griffin the billionaire financier are trying to attract businesses to their new base South Florida.,Documents referencing prominent executives like Elon Musk Howard Lutnick and Bill Gates underscored the wide web of boldfaced names tied to Jeffrey Epstein.,Immigration raids have scared off customers and workers a pattern repeated in other cities where federal officials have arrived in force.,The report scheduled for Friday would have provided data on job growth unemployment and wages in January.
2026-02-03,The self-driving car company an arm of Google’s parent company is rapidly expanding its service beyond a handful of cities.,Recently released emails reveal that Jeffrey Epstein sought to connect Mr. Tisch whose family is a part-owner of the New York Giants with multiple women.,Officials and business leaders welcomed lower tariffs but India has not yet confirmed that it would stop buying Russian oil which President Trump said Prime Minister Narendra Modi had agreed to.,From markets to spending to debt usually reliable indicators that forecast where the economy is headed are proving deeply fallible.,Technological advances and an erosion of trust have transformed the way news unfolds online distorting shared reality.,The German manufacturer announced plans to expand factories in several U.S. states and build a new plant in Mississippi.,The combination of SpaceX and xAI will create a rocket-and-A.I. giant. But investors and experts have concerns about the consequences of the deal.,Mr. D’Amaro 54 has most recently served as chairman of Disney Experiences a division that includes theme parks cruise vacations and consumer products.,The food and beverage giant said consumers were facing “affordability limitations.”,Ms. Tanner was previously an executive at CBS News and serves on the board of Audacy a major U.S. broadcaster and podcast producer.
2026-02-04,Experts are reaching to divine the president’s approach to global policy and economics with one theory seeing antecedents in centuries-old dynastic rule.,Bipartisan Senate and House packages aimed at rewarding new construction and eliminating red tape could bring significant changes to federal housing laws.,When President Trump said he wanted to drive housing prices up not down he was speaking to a conundrum that has flummoxed policymakers for decades.,Concerns about defaults particularly among software companies have spooked investors in the private credit firms that lend to them.,The league is so important to the business of media companies that they are likely to have little choice but to agree to renegotiations.,The company reported total revenue of $802.3 million for the fourth quarter of 2025 up 10.4 percent from a year earlier.,The two-year-old company founded by veterans of the autonomous vehicle business Waymo is seeking to automate excavators and other building equipment.,The once high-flying Danish drugmaker has struggled to fend off rivals in the weight-loss industry especially Eli Lilly which gave a much rosier outlook to investors.,New tools by artificial intelligence companies like Anthropic have reignited worries that businesses will pare down their subscriptions to software services.,The layoffs cut into The Post’s local international and sports coverage and reduced its entire work force by about 30 percent.
2026-02-05,The decision followed the release of a series of embarrassing emails between Mr. Karp and Jeffrey Epstein.,The disgraced financier regularly courted tech industry figures not just for their prestige but also for access to promising companies.,Martin Weil one of hundreds being let go at The Post has worked on local news there since 1965 witnessing the paper’s rise and now retrenchment.,WK Kellogg is promoting Raisin Bran with William Shatner during the big game as cereal sales decline. It’s also tapping the latest health and wellness trend.,Pandora known for its charm bracelets is trying to reduce its exposure to the volatility in silver prices the latest setback for a company also facing wary consumers and steep tariffs.,Brad Karp’s resignation as chairman of the law firm Paul Weiss underscores a further reflection in the corporate world over the latest revelations.,"The price of Bitcoin is now lower than when President Trump was elected in 2024 raising concerns of a new “crypto winter"" in the industry.",The company reported a strong holiday quarter on Thursday. But its spending like that at other big technology companies is starting to make investors nervous.,,
2026-02-06,In a federal bellwether case the jury ordered the ride-hailing giant to pay $8.5 million to Jaylynn Dean who said one of its drivers assaulted her in 2023.,The internet and a new film have breathed life into old conspiracy theories about one of the world’s most famous landmarks.,The world’s biggest automaker has navigated the industry’s turbulent E.V. transition but is looking to new leadership to manage intensifying geopolitical challenges.,Many Americans will see bigger refunds and new deductions while others may be revisiting the dreaded alternative minimum tax. Don’t panic just yet.,With signs of trouble popping up in financial markets investors need to decide whether they can ignore the turmoil our columnist says.,The chair of the Equal Employment Opportunity Commission has long opposed diversity initiatives like those that Nike embraced.,The prospect of disruptions from artificial intelligence has hung over the economy for years. But this week advances in software tools precipitated a sell-off on Wall Street.,European Union regulators said the app’s infinite scroll and personalized algorithm led to “compulsive” behavior especially among children.,Technology stocks and Bitcoin are showing signs of a rebound after a disastrous week. But investors remain on edge about whether more pain is in store.,House Republicans have scaled back a proposal to charge higher fees for the loans after opposition from veterans groups. But it still includes a higher fee for refinancings.
2026-02-07,The billionaire’s decision to merge his A.I. start-up with his rocket company will test investors’ interest in giant combinations of unalike businesses.,Ties between the exchange and the president’s company World Liberty Financial have only strengthened since the president pardoned Binance’s founder Changpeng Zhao.,Plus summoning the courage to loaf off as flagrantly as the person in the next cubicle.,The market value of Olympic medals has more than doubled since the 2024 Paris Games because of a surge in precious metal prices.,Kalshi and Polymarket say their prediction markets are not subject to gambling laws and taxes. The casino industry is lobbying to shut them down as a wave of court cases take on the question.,The post which spread widely appeared to describe the president’s rationale for deleting a racist video about the Obamas that he had shared.,A who’s who of celebrities will join them. Just a little over 25 percent of the seats for the game will be for regular fans with the cheapest ticket now selling for more than $4000.,His departure came days after the company cut 30 percent of the staff. He will be replaced in the interim by Jeff D’Onofrio the chief financial officer the company said.,,
2026-02-08,Prime Minister Sanae Takaichi pushed through a record supplemental budget and is proposing tax cuts raising questions about how the government will pay for it all.,More people are turning to chatbots for advice inquiring about high-stakes decisions such as saving for retirement — even if they eventually turn to a human.,The romance industry always at the vanguard of technological change is rapidly adapting to A.I. Not everyone is on board.,The race to create the next major women’s sport.,The Israeli military killed 34 people on the U.S.S. Liberty in 1967. Whether it was an accident as many historians believe has become a litmus test within President Trump’s movement.,League executives may be nervous about the Latin superstar’s outspoken stance on immigration but their priority is attracting popular halftime performers.,,,,
2026-02-09,Stocks climbed on Monday as investors cheered a result seen as a mandate for the prime minister’s high-spending economic agenda.,A brother-and-sister team in Spain started a sustainable business model recycling old and damaged nets into stadium seating and decorations.,The last time writers and actors negotiated contracts in 2023 dual strikes froze the industry.,Ads pitching artificial intelligence companies dominated the Super Bowl broadcast. Their huge cost probably didn’t ease investor worries about spending.,E.W. Scripps is selling the channel to the parent company of Law&Crime which wants Court TV to have a bigger streaming presence.,The unions representing pilots and flight attendants have in recent days publicly criticized American for falling behind Delta Air Lines and United Airlines.,Opening statements began in a trial claiming social media companies design addictive products that cause personal injury.,,,
2026-02-10,In their first joint interview Ms. Malle spoke about filling the shoes of Ms. Wintour who urged people to “get over comparisons.”,The company that operates the brand’s retail stores cited a shift in consumer preferences rising inflation and elevated tariffs.,The British energy giant said it would put money toward new oil and gas opportunities ahead of the arrival of its new chief executive Meg O’Neill.,Commerce Secretary Howard Lutnick and Casey Wasserman the entertainment mogul are among those facing blowback amid the release of files related to Jeffrey Epstein.,The relentless addition of artificial intelligence in popular apps raises questions about what’s at stake. The answer: the future of the internet and its lifeblood digital advertising.,The National Labor Relations Board having accused the company of unfair retaliation in 2024 now says it has no jurisdiction over Elon Musk’s space company.,New documents detail Jeffrey Epstein’s efforts to foster strategic sometimes reciprocal relationships with Russian officials.,The app said in opening statements that it was more of an entertainment platform. The lawsuit claims social media companies design products that cause personal injury.,Ford Motor reported a big loss for 2025 because of its troubled electric vehicle division which it has significantly scaled back.,
2026-02-11,In a meeting with employees at his company xAI Mr. Musk revealed a vision for a facility that includes a giant catapult to launch his satellites into space.,A French logistics behemoth promised $20 billion for the United States but a year into President Trump’s second term only a fraction of the money has arrived.,President Trump’s recently announced executive order that would bar big investors from acquiring single-family homes includes an exemption that allows them to build homes for rent.,The economy added substantially more jobs than expected last month as more people entered the labor force and wages grew.,Annual revisions show that employers added far fewer jobs in 2024 and 2025 than previously estimated.,January’s jobs data released on Wednesday bolstered expectations that the Federal Reserve will hold interest rates steady for longer than previously expected.,Economists have noticed that betting markets like Kalshi and Polymarket are pretty good at predicting not just political events but economic data too.,Leaders across industries from airlines to packaged foods have said a growing divide between lower-income and wealthy consumers is changing their businesses.,Trump plans to nominate a ‘data nerd’ to lead Bureau of Labor Statistics.,A hiring slowdown and fears about artificial intelligence have investors on edge and some in the Trump administration on the defensive.
2026-02-12,Prime Minister Narendra Modi won a big reduction of sky-high tariffs but critics say he undermined Indian sovereignty and undercut the nation’s farmers.,It sounds a bit kooky to promise a whole city from scratch. But it has been done before — and might just help solve the housing crisis.,Happier Grocery in New York is an entry point for people seeking a community built on inside knowledge. It’s not the only high-end grocer doing this.,Ford Motor shut down a battery factory and laid off 1600 workers after President Trump and Republicans gutted government support for electric vehicles.,The company long focused on cars and trucks plans to begin manufacturing large batteries used by utilities data centers other businesses and homeowners.,State income taxes often reflect federal policies but Washington D.C. and some states have taken steps to keep the latest Republican changes out of their tax codes.,Anthropic and OpenAI now have their own well-funded political groups that will square off in the midterm elections over artificial intelligence safety and regulation.,Anthropic is pouring millions of dollars into a political action committee that will most likely face off against OpenAI.,The widow and two daughters of LG’s former chairman sought to invalidate an inheritance agreement claiming they were deceived into forfeiting their rightful inheritance.,Her departure follows months of mounting tension over her division’s work to determine whether companies violated antitrust laws.
2026-02-13,Kathryn Ruemmler a former top Obama administration lawyer is out at Goldman Sachs after emails showed a friendship with the sex offender Jeffrey Epstein spanning many years.,As Iranian authorities restore some online services after crushing antigovernment demonstrations they are using a technological dragnet to target attendees of the protests.,The South American country has natural gas that could be extracted and exported quickly but U.S. sanctions which are now being eased have stymied development.,The dump of millions of documents has fueled a new wave of speculation A.I.-generated hoaxes and foreign disinformation.,In an internal memo last year Meta said the political tumult in the United States would distract critics from the feature’s release.,The Wall Street giant’s top lawyer whose ties to Jeffrey Epstein had raised questions at the firm has resigned. Other corporate leaders are also facing blowback.,The Consumer Price Index fell in January to 2.4 percent from 2.7 percent a month,Stocks have prospered while the world has plunged into disorder an economist says. “Keep calm and carry on” may be the best investors can do.,It’s cold outside — and a fine time to look over your bills and see where you can save.,Andrew Ferguson of the F.T.C. said in a letter to Apple that it might be violating consumer protection law by stifling conservative speech in its news aggregation service.
2026-02-14,More than a decade into Beijing’s push for self sufficiency Chinese firms are producing fewer lower-performing chips than their foreign competitors.,He speaks English. She speaks Mandarin. The secret to their happy marriage: Microsoft Translator.,The artificial intelligence frenzy is creating personal fortunes rarely seen in modern technology and changing people’s attitudes about fairness and money in relationships.,You’d think a financial planner married to another financial planner would have it easy come tax time. Alas no.,Problems at detention centers operated by CoreCivic extend far beyond recent measles outbreaks.,As their stocks tank software makers are rebranding themselves as A.I. innovators. Sparkle emojis are everywhere but some efforts have been more successful than others.,A researcher professor and federal policy adviser he guided students who went on to do groundbreaking work in connecting the world online.,A commercial about a lost dog being reunited with his family ignited concerns that a “Search Party” feature posed privacy risks. Ring parted ways with the tech company Flock Safety.,,
2026-02-15,Fractured politics disruptive technologies and a distrust in institutions are making it harder to focus on the traditional tasks of growing sales and profits.,As venture capital funding pours into start-ups large and small more firms are pitching themselves as the next big thing.,Warner Bros. spent an estimated $80 million on the R-rated romance directed by Emerald Fennell not including hefty marketing costs.,Some of Washington’s diplomatic outposts in Asia are raising millions for events to mark the 250th independence anniversary. One ambassador offered to sing and dance.,Manufacturers will no longer get a credit toward vehicle emissions standards by installing engines that automatically stop at red lights.,Warner Bros. Discovery had agreed to sell itself to Netflix but its contract allows it to pursue offers that may lead to a superior deal.,,,,
2026-02-16,A standoff over the security of Taiwan has led to a steep decline in the number of Chinese visitors to Japan which is heavily dependent on the tourists.,Owners spent nearly $1.5 billion last year on racehorses a big increase over 2024. A new tax provision allows them to immediately deduct the full cost of the purchase.,The social media site was the subject of user complaints early Monday.,Jamieson Greer a low-key lawyer from a working-class background is rewriting the rules of the global economy at the president’s behest.,The member of a prominent and wealthy family Mr. Pritzker was in regular contact with the financier and sex offender Jeffrey Epstein.,,,,,
2026-02-17,Mr. Cooper said in a statement that he was leaving as a correspondent for the show to focus on his CNN program and spend more time with his children.,Billboards that wouldn’t make sense to people outside the tech industry have become common in the Bay Area. One company took the microtargeting game to another level.,Companies are realizing they can no longer simply promote themselves to potential customers. They have to win over the robots too.,Paramount’s takeover bid was rejected in favor of Netflix which wanted only the streaming and studio businesses. Paramount said it would pay more if negotiations were reopened.,The takeover battle took a new turn on Tuesday as Warner Bros. Discovery reopened talks with its rebuffed suitor. But big questions still remain.,Mr. Baidawi 35 replaces the magazine’s longtime editor Will Welch. He says he wants the magazine to be a “North Star of masculinity.”,Stephen Colbert said he had to drop an interview with James Talarico from his Monday broadcast because of new F.C.C. guidance that targeted political interviews on late-night shows.,The agreement which still faces legal hurdles would cover current and future claims that the weedkiller caused non-Hodgkin’s lymphoma.,We want to get a better picture of what medical care for immigrants in detention is like.,The move would be the Wall Street firm’s latest retreat from diversity mandates that its chief executive David Solomon had once made a priority.
2026-02-18,The deals totaling $36 billion were the first step in a $550 billion investment pledge aimed at securing tariff relief and sustaining U.S. relations.,Trading of Japanese government bonds long considered moribund is roaring back to life as fears of the country’s debt have sent yields surging.,Academics have tried to reimagine how our tax laws would be transformed through a feminist lens and how they could be more equitable and attentive toward caregivers.,The company said it would encourage companies that operated chargers to install them in neighborhoods where its drivers lived and work.,A market rout may have decimated the crypto industry. But its machine in Washington may power proposed regulation past concerned Democrats.,Whether by app or old-school antennas budget-friendly options abound.,Humain which was created by Crown Prince Mohammed bin Salman last year said it made the investment just before xAI was acquired by SpaceX Mr. Musk’s rocket company.,The Horseracing Integrity and Safety Authority filed a complaint saying Churchill Downs Inc. is not paying its fair share to support inspections and testing.,The Times was honored for its coverage of President Trump the abuse of housekeepers and nannies in Saudi Arabia and brutality in New York prisons.,Meta’s biggest election investment aims to prevent state legislation that it fears could inhibit artificial intelligence development. Its spending starts this week in Texas and Illinois.
2026-02-19,Investors are selling shares of Chinese E.V. companies concerned that intensifying competition and shorter production cycles mean the years of easy growth are over.,Narendra Modi the prime minister convened foreign leaders the richest Silicon Valley companies and thousands of Indian entrepreneurs for a week of deal making.,U.S. officials are threatening major changes to a trade agreement with Mexico and Canada that could upend the way business is done and leave Canada on the outs.,Since the commercial aired Jamie Siminoff has been trying to quell an outcry over privacy concerns with his doorbell cameras.,The New York Times revealed in December that the ride-hailing giant approved drivers with many types of criminal convictions including violent felonies.,Shoppers are turning to Walmart to stretch their dollars but an uncertain economy and trade tensions will test the retailer’s new executive team.,Oil prices spiked and stocks fell as tensions between Washington and Tehran unnerved investors.,Data released Thursday by the Census Bureau showed the overall trade deficit with the world narrowed the result of an expanding trade surplus in services. The trade deficit in goods was the highest on record.,The state’s attorney general said in a lawsuit filed on Thursday that the company declined to use tools that recognize the material stored on iCloud.,The philanthropist made the announcement on Thursday after having earlier confirmed his participation in a prominent artificial intelligence summit in India.
